NIM,ANGKATAN,IPK,IPK LULUS,SKS TEMPUH,SKS LULUS,SKS TOTAL,IP SEMESTER 1,IP SEMESTER 2,IP SEMESTER 3,IP SEMESTER 4,IP SEMESTER 5,SKS TEMPUH SEMESTER 1,SKS TEMPUH SEMESTER 2,SKS TEMPUH SEMESTER 3,SKS TEMPUH SEMESTER 4,SKS TEMPUH SEMESTER 5,JUMLAH MATKUL YANG DI ULANG,JUMLAH CUTI (SEMESTER),status_kelulusan
201022032,2020,3.74,3.74,156.0,148.0,148.0,3.66,3.66,3.75,3.87,3.69,21.0,43.0,66.0,90.0,112.0,1,0,Tidak Tepat Waktu
201022036,2020,3.8,3.8,154.0,148.0,148.0,3.76,3.76,3.94,3.86,3.66,21.0,43.0,66.0,90.0,112.0,1,0,Tidak Tepat Waktu
201022037,2020,3.6,3.6,156.0,148.0,148.0,3.46,3.73,3.37,3.7,3.56,21.0,43.0,66.0,90.0,112.0,0,0,Tidak Tepat Waktu
201022042,2020,3.73,3.73,156.0,148.0,148.0,3.5,3.66,3.63,3.93,3.73,21.0,43.0,66.0,90.0,112.0,1,0,Tidak Tepat Waktu
201022043,2020,3.81,3.81,154.0,148.0,148.0,3.68,3.77,3.92,3.93,3.69,21.0,43.0,66.0,90.0,112.0,1,0,Tidak Tepat Waktu
201022045,2020,3.81,3.81,154.0,148.0,148.0,3.66,3.93,3.91,3.84,3.78,21.0,43.0,66.0,90.0,112.0,1,0,Tidak Tepat Waktu
201022047,2020,3.82,3.82,159.0,148.0,148.0,3.28,3.9,3.86,3.91,3.65,21.0,43.0,66.0,90.0,112.0,2,0,Tidak Tepat Waktu
201032038,2020,3.73,3.73,153.0,147.0,147.0,3.67,3.64,3.76,3.79,3.83,22.0,44.0,66.0,88.0,110.0,0,0,Tidak Tepat Waktu
201032041,2020,3.75,3.75,155.0,147.0,147.0,3.82,3.73,3.66,3.79,3.71,22.0,44.0,66.0,90.0,112.0,0,0,Tidak Tepat Waktu
201042004,2020,3.51,3.51,160.0,154.0,154.0,3.55,3.5,3.42,3.44,3.34,22.0,44.0,68.0,92.0,116.0,2,0,Tidak Tepat Waktu
